point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	16	P		
1	2			00	PU
1	3			17	
1	4			1	
1	5			25	
1	6			1	
1	7			00	
1	8			6	
1	9			17	
1	10			25	
1	11			17	
1	12			48	
1	13			5	
1	14			17	
1	15			25	
1	16	16	PU		
1	17			48	D
1	18			00	PU
1	19			17	
1	20			6	
1	21			00	
1	22			6	
1	23			5	
1	24	85	F		
1	25			48	
1	26			5	G
2	1	35	P		
2	2			57	PU
2	3			88	
2	4			57	
2	5			88	
2	6	13	PU		
2	7	18	G		
3	1	35	P		
3	2			12	PU
3	3			17	
3	4			12	
3	5			9	
3	6			12	
3	7	21	PU		
3	8	18			
3	9	35			
3	10	21			
3	11	35			
3	12	12	G		
4	1	24	P		
4	2			57	PU
4	3			8	
4	4			18	
4	5			57	
4	6	24	PU		
4	7	10			
4	8	35			
4	9	15			
4	10	24			
4	11	35			
4	12			57	PU
4	13			8	
4	14			19	
4	15			88	
4	16			18	
4	17			6	
4	18	29	PU		
4	19	2			
4	20	29			
4	21	10			
4	22			57	PU
4	23			6	
4	24			11	
4	25			57	
4	26			88	L
4	27			19	
4	28			88	G
5	1	12	P		
5	2			17	PU
5	3			00	
5	4			25	
5	5			17	
5	6	85	D		
5	7	12	PU		
5	8	17			
5	9	14			
5	10	17			
5	11	12			
5	12	2	L		
5	13	14	TO		
5	14	6	PU		
5	15	11			
5	16	6			
5	17	11			
5	18	18			
5	19	1			
5	20	6			
5	21			29	PU
5	22			21	
5	23			12	L
5	24			13	G
6	1	35	P		
6	2			17	PU
6	3			16	
6	4			5	
6	5			16	
6	6	16	F		
6	7			16	
6	8			5	
6	9			17	
6	10			46	
6	11			17	
6	12			16	
6	13			17	
6	14			85	
6	15	35	D		
6	16	35	PU		
6	17	21			
6	18	2			
6	19	24			
6	20	35			
6	21	2	LG		
7	1	4	P		
7	2			11	PU
7	3			88	
7	4			11	
7	5			8	
7	6			1	
7	7			6	
7	8			8	
7	9	12	D		
7	10	29	PU		
7	11	12			
7	12	7			
7	13	29			
7	14	77	G		
8	1	4	P		
8	2			17	PU
8	3			14	
8	4			12	
8	5			14	
8	6			12	
8	7			21	
8	8			17	
8	9			2	LG
9	1	12	P		
9	2			00	PU
9	3			17	
9	4			00	
9	5			17	
9	6			48	
9	7			6	
9	8			00	LG
10	1	18	P		
10	2			8	PU
11	1	35	P		
11	2			57	PU
11	3			1	
11	4			57	
11	5			1	
11	6	29	PU		
11	7			11	D
11	8			1	PU
11	9			88	
11	10			1	
11	11			88	
11	12			1	
11	13			57	
11	14	6	HB		
11	15	21	PU		
11	16	29			
11	17	28			
11	18	35			
11	19	29			
11	20	28			
11	21	29			
11	22	12			
11	23	18	LG		
12	1	35	P		
12	2			17	PU
12	3	21	PU		
12	4	24			
12	5	15	G		
13	1	35	P		
13	2			11	PU
13	3			57	
13	4			1	
13	5			57	
13	6	35	D		
13	7	35	PU		
13	8	77			
13	9	14			
13	10	35			
13	11	77			
13	12	21	TO		
13	13	1	PU		
13	14	6			
13	15	1			
13	16			14	PU
13	17			16	
13	18			21	
13	19			16	
13	20			2	G
14	1	12	P		
14	2			00	PU
14	3			6	
14	4			00	
14	5			6	
14	6			00	
14	7			1	
14	8			17	
14	9			1	
14	10			00	
14	11	5	D		
14	12	5	PU		
14	13	46			
14	14			48	D
14	15			17	PU
14	16			48	
14	17			6	G
15	1	13	P		
15	2			57	PU
15	3	10	D		
15	4	29	PU		
15	5	12			
15	6	29			
15	7	10			
15	8	29			
15	9	7			
15	10	29			
15	11	10			
15	12	29			
15	13	15			
15	14	29			
15	15	12			
15	16	13	G		
16	1	35	P		
16	2			14	PU
16	3			9	
16	4	29	D		
16	5	21	PU		
16	6	29			
16	7	35	G		
17	1	35	P		
17	2			8	PU
17	3			57	
17	4			11	
17	5			1	
17	6			18	
17	7			1	
17	8			8	
17	9			11	G
18	1	12	P		
18	2			00	PU
18	3			1	
18	4			17	
18	5			00	
18	6			17	
18	7			00	
18	8	16	F		
18	9			25	
18	10			5	
18	11			17	
18	12			6	
18	13	46	D		
18	14	16	PU		
18	15	21	L		
18	16	2			
18	17	21			
18	18	85			
18	19	12	TD		
18	20			17	PU
18	21			6	
18	22	12	D		
18	23	12	PU		
18	24	16			
18	25	2	TO		
18	26	8	PU		
18	27	1			
18	28	88	G		
19	1	8	P		
19	2			17	PU
19	3			1	
19	4			17	
19	5			1	
19	6			00	
19	7			1	
19	8			00	
19	9			17	
19	10			25	
20	1	12	P		
20	2			1	PU
20	3	16	PU		
20	4	85			
20	5	16			
20	6	2	G		
21	1	16	P		
21	2			1	PU
21	3			17	
21	4			6	
21	5			1	
21	6			48	G
22	1	35	P		
22	2			1	PU
22	3			8	
22	4			57	
22	5			8	
22	6			88	
22	7			8	
22	8			57	
22	9			8	
22	10			57	
22	11			6	
22	12			88	
22	13			8	
22	14			6	
22	15			8	
22	16			1	
22	17			18	G
23	1	12	P		
23	2			1	PU
23	3			17	
23	4			6	
23	5			17	
23	6			1	
23	7			5	
23	8			48	
23	9			1	
23	10			17	
23	11			1	
23	12			00	
23	13			17	
23	14	2	HB		
23	15	12	PU		
23	16	21			
23	17	46			
23	18	21			
23	19	85			
23	20	2			
23	21	46			
23	22	12	G		
24	1	46	P		
24	2			17	PU
24	3			6	
24	4			17	
24	5			6	
24	6			17	
24	7			6	
24	8			1	
24	9			17	
24	10			51	
24	11			48	
24	12			18	TD
24	13	1	PU		
24	14	85			
24	15	1			
24	16	16			
24	17	46			
24	18	16			
24	19			18	D
24	20			6	PU
24	21			1	
24	22			6	
24	23	16	PU		
24	24	16			
24	25	85	G		
25	1	12	P		
25	2			29	PU
25	3			21	
25	4			29	
25	5			28	
25	6			29	
25	7			28	
25	8			25	
25	9			29	
25	10			28	
25	11			25	
25	12			29	
25	13			28	
25	14			25	TD
25	15	12	PU		
25	16	14			
25	17	9			
25	18	12			
25	19	21			
25	20	5	G		
26	1	12	P		
26	2			00	PU
26	3			17	
26	4			1	
26	5			25	
26	6			17	
26	7			6	
26	8			17	
26	9			6	
26	10			17	
26	11			48	TD
26	12	17	PU		
26	13	2			
26	14			48	D
26	15			6	PU
26	16			17	
26	17			48	G
27	1	35	P		
27	2			8	PU
27	3			57	
27	4			8	
27	5			18	
27	6			6	
27	7			11	LG
28	1	16	P		
28	2			00	PU
28	3			1	
28	4			17	
28	5			5	
28	6	16	D		
28	7	16	PU		
28	8			17	D
28	9			17	PU
28	10			1	
28	11			17	
28	12			00	
28	13			48	
28	14			5	
28	15			25	
28	16	14	D		
28	17	17	PU		
28	18	16			
28	19	17			
28	20	2	TO		
28	21	8	PU		
28	22	19			
28	23	8			
28	24	1			
28	25	19			
28	26	88			
28	27	18			
28	28	6			
28	29	88			
28	30	18			
28	31	8			
28	32			12	D
28	33			21	PU
28	34			29	
28	35			12	
28	36			29	
28	37			21	
28	38			35	
28	39			18	
28	40			29	
28	41			35	
28	42			21	
28	43	1	PU		
28	44	57			
28	45			29	PU
28	46			21	
28	47			13	G
29	1	35	P		
29	2			1	PU
29	3			8	
29	4			1	
29	5			88	
29	6	12	D		
29	7	12	SO		
29	8			8	SO
29	9	48	SI		
29	10			85	SI
29	11	35	PU		
29	12	21			
29	13	48			
29	14	29			
29	15	21			
29	16	13			
29	17	29			
29	18	48	G		
30	1	35	P		
30	2			17	PU
30	3	21	PU		
30	4	35			
30	5	21			
30	6	15			
30	7	24	TD		
30	8			16	PU
30	9			14	
30	10			21	
30	11			16	
30	12			12	
30	13			5	
30	14			21	
30	15			16	
30	16			2	G
31	1	12	P		
31	2			1	PU
31	3			17	
31	4			1	
31	5			6	
31	6			5	
31	7			51	LG
32	1	35	P		
32	2			11	PU
32	3			8	
32	4			11	
32	5			6	
32	6	29	PU		
32	7	12	TO		
32	8	1	PU		
32	9	17			
32	10	48			
32	11	1			
32	12			21	D
32	13			16	PU
32	14			21	
32	15			46	
32	16			21	
32	17			18	LG
33	1	12	P		
33	2			17	PU
33	3			6	
33	4			00	
33	5			17	
33	6			00	
33	7			6	
33	8			00	
33	9			17	
33	10	16	PU		
33	11	12			
33	12	16			
33	13	2			
33	14	16			
33	15	12			
33	16	85			
33	17	12			
33	18	16			
33	19	2			
33	20	9	G		
34	1	6	P		
34	2			21	PU
34	3			29	
34	4			21	
34	5			28	
34	6			21	
34	7			35	
34	8			28	
34	9			12	
34	10			21	
34	11			29	
34	12			35	
34	13			12	G
35	1	35	P		
35	2			11	PU
35	3			8	
35	4			18	
35	5			88	
35	6			8	
35	7			46	
35	8			18	
35	9			88	G
36	1	12	P		
36	2			17	PU
36	3			00	
36	4			6	
36	5			00	
36	6			6	
36	7			5	
36	8			17	
36	9	17	F		
36	10			00	
36	11			17	
36	12			00	
36	13			25	
36	14			00	
36	15			1	
36	16	12	PU		
36	17			6	F
36	18	21			
36	19	12			
36	20	17			
36	21	5			
36	22	9	G		
37	1	16	P		
37	2			29	PU
37	3			21	
37	4			29	
37	5			21	
37	6			29	
37	7			21	
37	8			29	
37	9			21	
37	10			29	
37	11			28	
37	12			29	
37	13			28	
37	14			29	
37	15			35	
37	16			29	
37	17			21	
37	18			13	
37	19			21	TD
37	20	16	PU		
37	21	85	TD		
37	22			35	PU
37	23			29	
37	24			35	
37	25			12	
37	26	21	D		
37	27	6	PU		
37	28	1	TO		
37	29	57	PU		
37	30	6	TD		
37	31			13	PU
37	32			29	
37	33			28	
37	34			29	
37	35			28	
37	36			29	
37	37			13	
37	38			29	
37	39			35	
